source,target,capacity,dist,src_lat,src_lon,dst_lat,dst_lon,src_city,dst_city
ABE,PIT,45801.0,252.0,40.651773,-75.442797,40.491501,-80.232903,Allentown,Pittsburgh
ABE,RDU,35000.0,376.0,40.651773,-75.442797,35.877602,-78.787498,Allentown,Raleigh/Durham
ABE,RFD,36000.0,717.0,40.651773,-75.442797,42.1954,-89.097198,Allentown,Chicago/Rockford
ABE,SAV,36000.0,669.0,40.651773,-75.442797,32.127602,-81.202103,Allentown,Savannah
ABE,SBN,17610.0,571.0,40.651773,-75.442797,41.708698,-86.317299,Allentown,South Bend
ABE,SFB,2508400.0,882.0,40.651773,-75.442797,28.7775993347168,-81.23750305175781,Allentown,Orlando
ABE,SRQ,360000.0,1000.0,40.651773,-75.442797,27.394631,-82.554359,Allentown,Sarasota/Bradenton
ABE,TOL,45500.0,441.0,40.651773,-75.442797,41.5868,-83.8078,Allentown,Toledo
ABI,AEX,56000.0,426.0,32.4113006592,-99.6819000244,31.3274,-92.549797,Abilene,Alexandria
ABI,AMA,19090.0,227.0,32.4113006592,-99.6819000244,35.219398,-101.706001,Abilene,Amarillo
ABI,AUS,41081.0,193.0,32.4113006592,-99.6819000244,30.197535,-97.662015,Abilene,Austin
ABI,AZA,41006.0,699.0,32.4113006592,-99.6819000244,33.3078,-111.654999,Abilene,Mesa
ABI,BFI,56000.0,1580.0,32.4113006592,-99.6819000244,47.529999,-122.302002,Abilene,Seattle
ABI,BNA,45500.0,786.0,32.4113006592,-99.6819000244,36.1245,-86.6782,Abilene,Nashville
ABI,BWD,7000.0,60.0,32.4113006592,-99.6819000244,31.7936000824,-98.9564971924,Abilene,Brownwood
ABI,DAL,28350.0,168.0,32.4113006592,-99.6819000244,32.847099,-96.851799,Abilene,Dallas
ABI,DEN,32037.0,584.0,32.4113006592,-99.6819000244,39.861698150635,-104.672996521,Abilene,Denver
ABI,DFW,2854440.0,158.0,32.4113006592,-99.6819000244,32.896801,-97.038002,Abilene,Dallas-Fort Worth
ABI,GRK,45677.0,143.0,32.4113006592,-99.6819000244,31.0672,-97.828903,Abilene,Fort Cavazos
ABI,HRL,132000.0,443.0,32.4113006592,-99.6819000244,26.228500366210938,-97.65440368652344,Abilene,Harlingen
ABI,IAD,15000.0,1325.0,32.4113006592,-99.6819000244,38.9445,-77.455803,Abilene,Dulles
ABI,IAH,50216.0,307.0,32.4113006592,-99.6819000244,29.984399795532227,-95.34140014648438,Abilene,Houston
ABI,IFP,92244.0,876.0,32.4113006592,-99.6819000244,35.157398,-114.559998,Abilene,Bullhead City
ABI,LBB,215000.0,151.0,32.4113006592,-99.6819000244,33.663601,-101.822998,Abilene,Lubbock
ABI,LRD,56000.0,336.0,32.4113006592,-99.6819000244,27.543800354003903,-99.46160125732422,Abilene,Laredo
ABI,MAF,2834.0,151.0,32.4113006592,-99.6819000244,31.942499,-102.202003,Abilene,Midland
ABI,ONT,35000.0,1043.0,32.4113006592,-99.6819000244,34.056,-117.600998,Abilene,Ontario
ABI,ORD,7500.0,924.0,32.4113006592,-99.6819000244,41.9786,-87.9048,Abilene,Chicago
ABI,PHX,47100.0,720.0,32.4113006592,-99.6819000244,33.435302,-112.005905,Abilene,Phoenix
ABI,RNO,45683.0,1224.0,32.4113006592,-99.6819000244,39.4991,-119.767998,Abilene,Reno
ABI,SAT,68818.0,211.0,32.4113006592,-99.6819000244,29.533701,-98.469803,Abilene,San Antonio
ABI,SFO,1600.0,1332.0,32.4113006592,-99.6819000244,37.619806,-122.374821,Abilene,San Francisco
ABI,SJT,6334.0,87.0,32.4113006592,-99.6819000244,31.35770034790039,-100.49600219726562,Abilene,San Angelo
ABI,YNG,1400.0,1213.0,32.4113006592,-99.6819000244,41.26070023,-80.67910004,Abilene,Youngstown/Warren
ABQ,AEX,44000.0,853.0,35.039976,-106.608925,31.3274,-92.549797,Albuquerque,Alexandria
ABQ,AFW,1689028.0,551.0,35.039976,-106.608925,32.99044,-97.31947,Albuquerque,Fort Worth
